A,new,starter,5,12,1,21,0.0000,443.0,457.5,205.06,1997.2,120.0,0.1,355486
A,new,starter,5,12,21,41,0.0000,484.8,555.5,286.93,1997.0,120.0,0.1,355522
A,new,starter,5,12,41,61,0.0000,425.5,476.5,257.75,1997.0,120.0,0.1,355366
A,new,starter,5,12,61,81,0.0000,445.9,457.5,212.36,1997.2,120.0,0.1,355507
A,new,starter,5,12,81,101,0.0000,407.2,427.5,262.68,1997.2,120.0,0.1,355437
B,new,starter,5,12,1,21,0.6500,2131.7,2168.0,589.33,1997.7,120.0,0.1,355680
B,new,starter,5,12,21,41,0.8000,2333.2,2398.0,485.95,1997.9,120.0,0.1,355680
B,new,starter,5,12,41,61,0.8500,2417.4,2480.0,523.57,1997.5,120.0,7.2,355680
B,new,starter,5,12,61,81,0.5500,1892.7,2146.5,787.19,1997.8,120.0,0.1,355680
B,new,starter,5,12,81,101,0.7000,2267.8,2448.5,669.66,1998.0,120.0,0.1,355680
C,new,starter,5,12,1,21,1.0000,2952.3,2966.0,81.98,1998.5,120.0,0.1,355680
C,new,starter,5,12,21,41,1.0000,2909.9,2928.5,106.86,1998.3,120.0,0.1,355680
C,new,starter,5,12,41,61,1.0000,2890.5,2931.0,168.01,1998.5,120.0,0.1,355680
C,new,starter,5,12,61,81,1.0000,2892.8,2903.0,119.53,1998.3,120.0,0.1,355680
C,new,starter,5,12,81,101,1.0000,2884.2,2914.0,160.26,1998.3,120.0,0.1,355680
D,new,starter,5,12,1,21,1.0000,3079.8,3096.5,33.71,1996.5,120.0,0.1,354643
D,new,starter,5,12,21,41,1.0000,3008.5,3090.0,163.85,1997.0,120.0,0.1,354795
D,new,starter,5,12,41,61,1.0000,3065.3,3099.0,90.74,1996.7,120.0,0.1,354712
D,new,starter,5,12,61,81,1.0000,3039.9,3054.0,101.05,1996.5,120.0,0.1,354718
D,new,starter,5,12,81,101,1.0000,3068.6,3081.5,55.47,1996.6,120.0,0.1,354695
E,new,starter,5,12,1,21,1.0000,2996.6,2997.0,0.80,1995.8,120.0,0.1,354660
E,new,starter,5,12,21,41,1.0000,2995.9,2995.5,0.97,1995.5,120.0,0.1,354660
E,new,starter,5,12,41,61,1.0000,2996.8,2997.0,0.60,1995.9,120.0,0.1,354660
E,new,starter,5,12,61,81,1.0000,2995.8,2995.0,0.98,1995.4,120.0,0.1,354660
E,new,starter,5,12,81,101,1.0000,2996.7,2997.0,0.73,1995.8,120.0,0.1,354660
