new,random,5,12,1,21,0.9500,536.2,489.5,344.38,4.2,120.0
new,random,5,12,21,41,0.9500,336.9,372.0,215.88,3.4,120.0
new,random,5,12,41,61,0.8500,397.4,423.5,260.76,1.2,120.0
new,random,5,12,61,81,0.9500,415.3,455.5,290.48,23.1,120.0
new,random,5,12,81,101,0.9000,396.1,413.0,203.36,1.2,120.0
new,starter,5,12,1,21,0.0000,443.0,457.5,205.06,1997.2,120.0
new,starter,5,12,21,41,0.0000,484.8,555.5,286.93,1997.0,120.0
new,starter,5,12,41,61,0.0000,425.5,476.5,257.75,1997.0,120.0
new,starter,5,12,61,81,0.0000,445.9,457.5,212.36,1997.2,120.0
new,starter,5,12,81,101,0.0000,407.2,427.5,262.68,1997.2,120.0
new,heuristic,5,12,1,21,0.9500,496.6,468.0,259.94,0.0,120.0
new,heuristic,5,12,21,41,0.9500,487.9,503.0,253.65,0.0,120.0
new,heuristic,5,12,41,61,0.9500,543.5,603.5,287.29,0.0,120.0
new,heuristic,5,12,61,81,0.9500,504.1,483.0,293.32,0.0,120.0
new,heuristic,5,12,81,101,0.9500,277.9,335.0,212.54,0.0,120.0
